run_name,source_file,run_family,model_guess,file_hash,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,error_rows
v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq4_social_signal_v9_f1_balanced_nothink_json_ctx16384_tok8192_b4.partial,v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq4_social_signal_v9_f1_balanced_nothink_json_ctx16384_tok8192_b4.partial.csv,v4_social_signal,qwen3.6-35b:iq4,979e3824848e,0.90,4,1,1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.35,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.40,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.45,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.50,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.55,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.60,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal,qwen35-9b,cbe12b087c57,0.35,41,37,32,0.7804878048780488,0.8125,0.7027027027027027,0.7536231884057971,0.5646591970121382,0.7479674796747967,0.8888888888888888,0.8275862068965517,0.8571428571428571,3,5,0
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal,qwen35-9b,cbe12b087c57,0.40,41,37,32,0.7804878048780488,0.8125,0.7027027027027027,0.7536231884057971,0.5646591970121382,0.7479674796747967,0.8888888888888888,0.8275862068965517,0.8571428571428571,3,5,0
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal,qwen35-9b,cbe12b087c57,0.45,41,37,32,0.7804878048780488,0.8125,0.7027027027027027,0.7536231884057971,0.5646591970121382,0.7479674796747967,0.8888888888888888,0.8275862068965517,0.8571428571428571,3,5,0
