dataset_row_id,factor_key,factor_name,group_name,relevance,sentiment_score,pressure,confidence,sentiment_label,is_relevant,evidence,reason,raw_factor_returned,call_status,raw_text_chars
1,crime_count,Количество преступлений,safety_mortality,0.3,0.0,0.0,0.5,neutral,False,поручил разработать план подъема танкеров,не связано с преступностью,True,batch,2919
1,mortality_rate,Коэффициент смертности на 1000 человек,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
1,life_expectancy,Ожидаемая продолжительность жизни,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
1,infant_mortality,Коэффициент младенческой смертности,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
9,crime_count,Количество преступлений,safety_mortality,0.3,0.0,0.0,0.5,neutral,False,планы отказа от импорта урана,не связано с преступностью,True,batch,2919
9,mortality_rate,Коэффициент смертности на 1000 человек,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
9,life_expectancy,Ожидаемая продолжительность жизни,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
9,infant_mortality,Коэффициент младенческой смертности,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
16,crime_count,Количество преступлений,safety_mortality,0.3,0.0,0.0,0.5,neutral,False,пострадавшие при обрушении моста,не преступление,True,batch,2919
16,mortality_rate,Коэффициент смертности на 1000 человек,safety_mortality,0.6,0.0,0.5,0.7,neutral,True,их жизни ничто не угрожает,упоминание о пострадавших,True,batch,2919
16,life_expectancy,Ожидаемая продолжительность жизни,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
16,infant_mortality,Коэффициент младенческой смертности,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
17,crime_count,Количество преступлений,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
17,mortality_rate,Коэффициент смертности на 1000 человек,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
17,life_expectancy,Ожидаемая продолжительность жизни,safety_mortality,0.3,0.0,0.0,0.5,neutral,False,получать налоговый вычет,не связано с продолжительностью жизни,True,batch,2919
17,infant_mortality,Коэффициент младенческой смертности,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
18,crime_count,Количество преступлений,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
18,mortality_rate,Коэффициент смертности на 1000 человек,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
18,life_expectancy,Ожидаемая продолжительность жизни,safety_mortality,0.3,0.0,0.0,0.5,neutral,False,возобновил работу транспорта,не связано с продолжительностью жизни,True,batch,2919
18,infant_mortality,Коэффициент младенческой смертности,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
19,crime_count,Количество преступлений,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
19,mortality_rate,Коэффициент смертности на 1000 человек,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
19,life_expectancy,Ожидаемая продолжительность жизни,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
19,infant_mortality,Коэффициент младенческой смертности,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
24,crime_count,Количество преступлений,safety_mortality,0.0,0.0,0.0,0.0,neutral,False,,,False,batch,2919
