file_name,is_prediction_shape,included,reason,model,prompt
final_multilabel_full_metrics.csv,False,False,not_prediction_file,unknown,unknown
final_multilabel_news_errors.csv,False,False,not_prediction_file,unknown,unknown
final_multilabel_per_factor_report.csv,False,False,not_prediction_file,unknown,unknown
final_multilabel_prompt_search_metrics.csv,False,False,not_prediction_file,unknown,unknown
final_multilabel_sentiment_by_factor.csv,False,False,not_prediction_file,unknown,unknown
final_multilabel_sentiment_pairs.csv,False,False,not_prediction_file,unknown,unknown
final_multilabel_threshold_sweep.csv,False,False,not_prediction_file,unknown,unknown
grouped_event_hybrid_factor_oracle_choices.csv,False,False,not_prediction_file,gemma4:e2b,unknown
grouped_event_hybrid_factor_tuned_choices.csv,False,False,not_prediction_file,gemma4:e2b,unknown
grouped_event_hybrid_factor_tuned_holdout_metrics.csv,False,False,not_prediction_file,gemma4:e2b,unknown
grouped_event_hybrid_search_metrics.csv,False,False,not_prediction_file,gemma4:e2b,unknown
grouped_event_hybrid_search_metrics_empty_correct.csv,False,False,not_prediction_file,gemma4:e2b,unknown
grouped_event_hybrid_source_factor_compare.csv,False,False,not_prediction_file,gemma4:e2b,unknown
grouped_event_v1_search_think_true.csv,True,True,included,gemma4:e2b,grouped_event_v1
grouped_event_v1_search_think_true.partial.csv,True,False,skipped_partial_duplicate_final_exists,gemma4:e2b,grouped_event_v1
grouped_event_v1_search_think_true_factor_report.csv,False,False,not_prediction_file,gemma4:e2b,grouped_event_v1
grouped_event_v1_search_think_true_metrics.csv,False,False,not_prediction_file,gemma4:e2b,grouped_event_v1
interfax_news_multilabel_factor_dataset_1000_wide.csv,False,False,not_prediction_file,unknown,unknown
latent_candidate_v3_factor_oracle_choices.csv,False,False,not_prediction_file,unknown,latent_candidate_v3
latent_candidate_v3_factor_report_threshold_045.csv,False,False,not_prediction_file,unknown,latent_candidate_v3
latent_candidate_v3_factor_tuned_choices.csv,False,False,not_prediction_file,unknown,latent_candidate_v3
latent_candidate_v3_factor_tuned_holdout_metrics.csv,False,False,not_prediction_file,unknown,latent_candidate_v3
latent_candidate_v3_hybrid_search_metrics.csv,False,False,not_prediction_file,unknown,latent_candidate_v3
manual_dataset_bert_predictions_full_text_5df03950348d.csv,True,True,included,rubert-nli-zero-shot,unknown
manual_dataset_daily_aggregate_comparison.csv,False,False,not_prediction_file,unknown,unknown
manual_dataset_eval_rows.csv,False,False,not_prediction_file,unknown,unknown
manual_dataset_factor_aggregate_errors.csv,False,False,not_prediction_file,unknown,unknown
manual_dataset_graph_metrics.csv,False,False,not_prediction_file,unknown,unknown
manual_dataset_llm_daily_aggregate_comparison.csv,False,False,not_prediction_file,unknown,unknown
